date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:29	10512/10512	---M--	200	added ('OK')	image/png	etag:%22cb5fd18b9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/top_logo.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/top_logo.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:29	23185/23185	---M--	200	added ('OK')	image/png	etag:%22e6c23636a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/title_name.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/title_name.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:29	61316/61316	---M--	200	added ('OK')	image/jpeg	etag:%221f661038a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/top_player01.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/top_player01.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:29	128304/128304	---M--	200	added ('OK')	image/jpeg	etag:%2213e0bb46a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/top_player02.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/top_player02.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:30	51478/51478	---M--	200	added ('OK')	image/jpeg	etag:%226c5faf899ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/01.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/01.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:30	50934/50934	---M--	200	added ('OK')	image/jpeg	etag:%22ea82f432a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/02.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/02.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:31	51414/51414	---M--	200	added ('OK')	image/jpeg	etag:%22598323799ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/03.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/03.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:31	51317/51317	---M--	200	added ('OK')	image/jpeg	etag:%221d645e759ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/04.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/04.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:31	51031/51031	---M--	200	added ('OK')	image/jpeg	etag:%22ae3e71ca4ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/05.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/05.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:31	49918/49918	---M--	200	added ('OK')	image/jpeg	etag:%224c88b17d9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/06.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/06.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:32	48386/48386	---M--	200	added ('OK')	image/jpeg	etag:%22ff1379669ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/07.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/07.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:32	51477/51477	---M--	200	added ('OK')	image/jpeg	etag:%2237c9b838a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/08.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/08.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:32	51272/51272	---M--	200	added ('OK')	image/jpeg	etag:%226f977d43a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/09.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/09.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:32	51824/51824	---M--	200	added ('OK')	image/jpeg	etag:%225022de45a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/10.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/10.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:32	51733/51733	---M--	200	added ('OK')	image/jpeg	etag:%2258183ca3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/11.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/11.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:33	50610/50610	---M--	200	added ('OK')	image/jpeg	etag:%2268454f37a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/12.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/12.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:33	53556/53556	---M--	200	added ('OK')	image/jpeg	etag:%22cea99832a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/13.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/13.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:33	50289/50289	---M--	200	added ('OK')	image/jpeg	etag:%2298a84644a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/14.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/14.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:33	51905/51905	---M--	200	added ('OK')	image/jpeg	etag:%225abf9969ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/15.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/15.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:33	52933/52933	---M--	200	added ('OK')	image/jpeg	etag:%22c6fb48719ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/16.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/16.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:34	51920/51920	---M--	200	added ('OK')	image/jpeg	etag:%2243ee34a89ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/17.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/17.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:34	51147/51147	---M--	200	added ('OK')	image/jpeg	etag:%229561d746a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/18.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/18.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:34	50465/50465	---M--	200	added ('OK')	image/jpeg	etag:%221224c7e9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/19.jpg	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/19.jpg	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:34	1976/1976	---M--	200	added ('OK')	image/png	etag:%228f5fc5669ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_FB.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_FB.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:34	2114/2114	---M--	200	added ('OK')	image/png	etag:%22eb462346a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_Twitter.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_Twitter.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:35	2298/2298	---M--	200	added ('OK')	image/png	etag:%22104c247a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_IG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_IG.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:35	2032/2032	---M--	200	added ('OK')	image/png	etag:%224d2bbe819ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_YT.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_YT.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:35	2450/2450	---M--	200	added ('OK')	image/png	etag:%22dd95c332a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_WB.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/icon_WB.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:35	8544/8544	---M--	200	added ('OK')	image/png	etag:%22e9308629ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/CA_Osasuna.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/CA_Osasuna.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:35	9527/9527	---M--	200	added ('OK')	image/png	etag:%2264df9c46a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Sevilla_FC.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Sevilla_FC.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:36	8358/8358	---M--	200	added ('OK')	image/png	etag:%221f25e29f9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Cadiz_CF.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Cadiz_CF.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:36	10391/10391	---M--	200	added ('OK')	image/png	etag:%22841cd5649ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Rayo_Vallecano.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Rayo_Vallecano.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:36	12046/12046	---M--	200	added ('OK')	image/png	etag:%22cacdf57e9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Getafe_CF.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Getafe_CF.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:36	6474/6474	---M--	200	added ('OK')	image/png	etag:%22eb566842a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Valencia_CF.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/Valencia_CF.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
20:35:37	9202/9202	---M--	200	added ('OK')	image/png	etag:%22e4b357b9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/RCD_Espanyol.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/Images/vi-vn/osasuna/teamlogo/RCD_Espanyol.png	(from https://vn2.ku6122.net/Mobile/Home/Osasuna)
